"race","gender","empl","inc","pid","pid.follow","ideol","ideol.follow","educ","mor.suffer","mor.care","mor.cruel","mor.comp","mor.anim","mor.kill","si.white","si.care","si.kids","si.kill","si.good","si.help","hc.group","hc.likert","hc.slider","hc.check","ev.group","ev.likert","ev.slider","ev.check","inc.num","age","dem","male","mor.all","si.all"
"Hispanic","Female","Employed full time","$20 000 to $39 999","Independent","Closer to the Democratic Party","Conservative","Somewhat conservative","Associate degree",6,6,6,4,6,4,4,2,4,4,3,4,"m.opp",2,4.3,6,"si.opp",3,3.7,4,2,18,0,0,5.33333333333333,3.5
"Hispanic","Female","Retired","$60 000 to $79 999","Republican","Strong","Conservative","Very conservative","Associate degree",5,5,2,6,2,4,6,3,1,3,5,1,"control",2,4.9,2,"control",2,4,4,4,18,0,0,4,3.16666666666667
"White","Female","Retired","$60 000 to $79 999","Republican","Strong","Conservative","Very conservative","Bachelor",4,4,4,3,3,5,1,1,1,1,1,1,"control",1,1,3,"control",3,2.8,5,4,75,0,0,3.83333333333333,1
"Hispanic","Male","Employed full time","Less than $20 000","Something else","Neither","Neither","Neither","High school or lower",5,5,5,5,5,5,5,5,5,5,5,5,"m.supp",3,5.8,7,"m.supp",3,5.4,1,1,18,0,1,5,5
"White","Male","Retired","$20 000 to $39 999","Independent","Neither","Liberal","Somewhat liberal","Bachelor",6,5,5,6,5,3,2,1,2,5,1,4,"si.supp",5,8.1,3,"control",5,6.4,5,2,68,0,1,5,2.5
"White","Female","Student","Less than $20 000","Democrat","Not very strong","Conservative","Somewhat conservative","High school or lower",3,2,2,4,3,3,6,3,2,6,2,2,"si.supp",2,4.8,2,"si.opp",2,6.3,6,1,18,1,0,2.83333333333333,3.5
"White","Female","Unemployed","$40 000 to $59 999","Democrat","Strong","Neither","Neither","High school or lower",1,4,2,1,4,2,2,5,4,2,6,3,"si.supp",1,9.7,6,"m.opp",4,10,7,3,18,1,0,2.33333333333333,3.66666666666667
"Black","Male","Employed full time","Less than $20 000","Independent","Closer to the Democratic Party","Neither","Closer to liberals","Master or higher",5,4,4,4,1,6,1,6,5,5,1,5,"m.supp",4,8.2,3,"si.supp",4,8.4,5,1,35,0,1,4,3.83333333333333
"White","Male","Employed full time","$40 000 to $59 999","Republican","Strong","Neither","Closer to conservatives","Associate degree",4,3,2,2,5,2,1,5,4,4,1,4,"m.opp",5,10,7,"m.supp",4,9.8,1,3,28,0,1,3,3.16666666666667
"White","Male","Retired","$20 000 to $39 999","Independent","Neither","Conservative","Somewhat conservative","Some college",5,4,6,5,6,5,1,4,1,5,1,5,"si.opp",4,7.3,3,"m.opp",3,5.1,5,2,70,0,1,5.16666666666667,2.83333333333333
"Black","Male","Employed part time","Less than $20 000","Democrat","Strong","Conservative","Very conservative","Associate degree",1,2,4,5,6,5,5,5,2,5,4,5,"si.supp",1,2.9,7,"m.opp",1,5.9,1,1,20,1,1,3.83333333333333,4.33333333333333
"White","Male","Retired","$20 000 to $39 999","Republican","Strong","Conservative","Very conservative","High school or lower",5,4,5,5,6,6,3,4,5,5,4,5,"m.supp",3,5.7,3,"control",5,9.2,5,2,68,0,1,5.16666666666667,4.33333333333333
"White","Male","Employed part time","$80 000 to $99 999","Democrat","Strong","Liberal","Somewhat liberal","Bachelor",5,6,6,6,6,5,4,6,3,4,4,3,"m.opp",2,4,3,"si.supp",3,5,6,5,36,1,1,5.66666666666667,4
"Black","Female","Employed part time","$20 000 to $39 999","Democrat","Strong","Conservative","Very conservative","High school or lower",3,3,4,3,3,3,3,4,4,1,1,3,"si.supp",3,6.5,5,"m.supp",3,6.9,3,2,18,1,0,3.16666666666667,2.66666666666667
"White","Male","Employed full time","$150 000 or more","Democrat","Strong","Conservative","Very conservative","Master or higher",6,5,5,5,6,6,6,6,5,4,5,6,"m.supp",4,6.4,3,"m.opp",4,7.5,5,7,35,1,1,5.5,5.33333333333333
